t,ds,y
705,1958-05-01,59.064516129032256
706,1959-05-01,66.30645161290323
707,1960-05-01,62.61290322580645
708,1961-05-01,59.83870967741935
709,1962-05-01,64.38709677419355
710,1963-05-01,61.11290322580645
711,1964-05-01,65.40322580645162
712,1965-05-01,66.37096774193549
713,1966-05-01,61.54838709677419
714,1967-05-01,55.17741935483871
715,1968-05-01,59.564516129032256
716,1969-05-01,65.20967741935483
717,1970-05-01,64.03225806451613
718,1971-05-01,61.32258064516129
719,1972-05-01,63.25806451612903
720,1973-05-01,59.45161290322581
721,1974-05-01,60.935483870967744
722,1975-05-01,65.79032258064517
723,1976-05-01,60.193548387096776
724,1977-05-01,65.01612903225806
725,1978-05-01,61.46774193548387
726,1979-05-01,65.29032258064517
727,1980-05-01,65.62903225806451
728,1981-05-01,64.7741935483871
729,1982-05-01,64.08064516129032
730,1983-05-01,60.11290322580645
731,1984-05-01,61.645161290322584
732,1985-05-01,65.24193548387096
733,1986-05-01,66.01612903225806
734,1987-05-01,63.564516129032256
735,1988-05-01,62.62903225806452
736,1989-05-01,62.064516129032256
737,1990-05-01,60.20967741935484
738,1991-05-01,68.6774193548387
739,1992-05-01,61.0
740,1993-05-01,65.62903225806451
741,1994-05-01,61.774193548387096
742,1995-05-01,61.88709677419355
743,1996-05-01,61.08064516129032
744,1997-05-01,59.354838709677416
745,1998-05-01,64.3225806451613
746,1999-05-01,63.03225806451613
747,2000-05-01,63.516129032258064
748,2001-05-01,63.564516129032256
749,2002-05-01,60.66129032258065
750,2003-05-01,58.67741935483871
751,2004-05-01,65.19354838709677
752,2005-05-01,58.903225806451616
753,2006-05-01,63.08064516129032
754,2007-05-01,65.2258064516129
755,2008-05-01,60.08064516129032
756,2009-05-01,62.483870967741936
757,2010-05-01,65.2741935483871
758,2011-05-01,64.48387096774194
759,2012-05-01,65.09677419354838
760,2013-05-01,62.79032258064516
761,2014-05-01,64.0
762,2015-05-01,68.51612903225806
763,2016-05-01,62.79032258064516
764,2017-05-01,61.08064516129032
765,2018-05-01,66.88709677419355
766,2019-05-01,62.16129032258065
767,2020-05-01,60.29032258064516
